Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
117,André,br BRA,MF,Wolves,eng Premier League,23.0,2001,20,18,1402,15.6,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,5,53,5,0.00,0.04,117,br BRA,MF,eng Premier League,23-216,2001,15.6,0,3,1,33.3,0.19,0.06,0.00,0.00,24.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,117,br BRA,MF,eng Premier League,23-216,2001,15.6,602,653,92.2,9780,2753,0,0.6,0.4,-0.6,10,52,3,0,53,117,br BRA,MF,eng Premier League,23-216,2001,15.6,653,633,18,15,3,9,0,1,0,0,0,0,602,2,7,117,br BRA,MF,eng Premier League,23-216,2001,15.6,28,1.80,22,3,0,0,0,3,2,0.13,117,br BRA,MF,eng Premier League,23-216,2001,15.6,51,35,24,22,5,34,61.8,13,28,7,21,20,71,23,1,117,br BRA,MF,eng Premier League,23-216,2001,15.6,821,67,248,502,76,1,821,15,7,46.7,5,33.3,425,1783,817,5,10,0,14,11,535,5,151,br BRA,MF,eng Premier League,23-216,2001,20,1402,70,62.3,15.6,18,78,8,2,3,2,0.75,22,33,-11,-0.71,+0.04,15.2,25.4,-10.2,-0.66,117,br BRA,MF,eng Premier League,23-216,2001,15.6,3,0,0,20,19,0,0,20,35,0,1,0,94,2,6,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,34.0,1990,19,19,1702,18.9,0,1,1,0,0,0,9,0,1.2,1.2,1.1,2.3,18,142,44,0.05,0.12,118,fr FRA,MF,fr Ligue 1,34-198,1990,18.9,0,13,3,23.1,0.69,0.16,0.00,0.00,14.7,0,0,0,1.2,1.2,0.09,-1.2,-1.2,118,fr FRA,MF,fr Ligue 1,34-198,1990,18.9,1024,1244,82.3,17629,4795,1,1.1,1.8,-0.1,11,130,12,2,142,118,fr FRA,MF,fr Ligue 1,34-198,1990,18.9,1244,1201,39,35,0,13,11,4,0,0,0,0,1024,4,16,118,fr FRA,MF,fr Ligue 1,34-198,1990,18.9,33,1.75,29,0,0,2,2,0,6,0.32,118,fr FRA,MF,fr Ligue 1,34-198,1990,18.9,51,22,17,30,4,59,52.5,28,26,3,23,28,79,36,0,118,fr FRA,MF,fr Ligue 1,34-198,1990,18.9,1464,44,251,949,271,37,1464,14,5,35.7,8,57.1,733,3374,1566,18,21,0,30,20,999,44,152,fr FRA,MF,fr Ligue 1,34-198,1990,19,1702,90,86.0,18.9,19,90,18,0,,0,1.63,30,21,+9,+0.48,-0.50,31.2,25.2,+6.0,+0.32,118,fr FRA,MF,fr Ligue 1,34-198,1990,18.9,9,0,0,30,33,3,11,28,22,1,0,0,120,70,57,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Marcos André,br BRA,FW,Valladolid,es La Liga,28.0,1996,16,11,944,10.5,1,1,2,1,0,0,5,0,2.0,2.0,0.6,2.6,10,10,30,0.19,0.25,119,br BRA,FW,es La Liga,28-120,1996,10.5,1,16,2,12.5,1.53,0.19,0.06,0.50,12.4,0,0,0,2.0,2.0,0.13,-1.0,-1.0,119,br BRA,FW,es La Liga,28-120,1996,10.5,110,172,64.0,1883,298,1,0.6,0.2,+0.4,6,9,1,0,10,119,br BRA,FW,es La Liga,28-120,1996,10.5,172,153,18,2,2,5,1,0,0,0,0,0,110,1,5,119,br BRA,FW,es La Liga,28-120,1996,10.5,13,1.24,10,0,2,0,1,0,1,0.10,119,br BRA,FW,es La Liga,28-120,1996,10.5,6,5,1,3,2,9,22.2,7,13,2,11,3,9,7,0,119,br BRA,FW,es La Liga,28-120,1996,10.5,296,10,35,175,93,26,296,31,15,48.4,11,35.5,158,815,297,10,7,4,35,16,209,30,153,br BRA,FW,es La Liga,28-120,1996,16,944,59,43.7,10.5,11,77,2,5,20,6,0.50,8,23,-15,-1.43,-0.10,8.1,17.7,-9.6,-0.92,119,br BRA,FW,es La Liga,28-120,1996,10.5,5,0,0,10,28,5,1,3,5,0,0,0,38,43,37,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,30.0,1994,16,14,1150,12.8,2,1,3,2,0,0,6,0,1.2,1.2,0.2,1.4,7,48,13,0.23,0.11,120,de GER,MF,de Bundesliga,30-148,1994,12.8,2,18,4,22.2,1.41,0.31,0.11,0.50,22.0,0,0,0,1.2,1.2,0.06,+0.8,+0.8,120,de GER,MF,de Bundesliga,30-148,1994,12.8,636,709,89.7,9877,2202,1,0.2,0.7,+0.8,7,56,5,0,48,120,de GER,MF,de Bundesliga,30-148,1994,12.8,709,695,14,11,2,5,5,1,0,0,0,0,636,0,3,120,de GER,MF,de Bundesliga,30-148,1994,12.8,27,2.11,21,0,1,3,1,1,3,0.23,120,de GER,MF,de Bundesliga,30-148,1994,12.8,18,9,6,11,1,11,45.5,6,12,6,6,21,39,15,0,120,de GER,MF,de Bundesliga,30-148,1994,12.8,806,30,151,492,167,15,806,5,2,40.0,1,20.0,381,1587,655,7,12,1,5,1,587,13,156,de GER,MF,de Bundesliga,30-148,1994,16,1150,72,58.1,12.8,14,81,7,2,9,5,2.13,26,14,+12,+0.94,-0.15,22.6,13.2,+9.4,+0.73,120,de GER,MF,de Bundesliga,30-148,1994,12.8,6,0,0,25,13,0,5,21,9,0,1,0,55,14,10,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Angeliño,es ESP,DF,Roma,it Serie A,28.0,1997,25,24,2082,23.1,1,1,2,1,0,0,1,0,0.5,0.5,2.1,2.6,38,126,105,0.09,0.11,121,es ESP,DF,it Serie A,28-044,1997,23.1,1,11,2,18.2,0.48,0.09,0.09,0.50,19.7,0,0,0,0.5,0.5,0.04,+0.5,+0.5,121,es ESP,DF,it Serie A,28-044,1997,23.1,1091,1378,79.2,19765,7293,1,2.1,2.2,-1.1,32,105,37,13,126,121,es ESP,DF,it Serie A,28-044,1997,23.1,1378,1181,192,29,1,14,71,156,6,2,4,0,1091,5,21,121,es ESP,DF,it Serie A,28-044,1997,23.1,54,2.33,44,9,0,0,1,0,6,0.26,121,es ESP,DF,it Serie A,28-044,1997,23.1,34,16,13,19,2,24,58.3,10,26,8,18,21,55,61,0,121,es ESP,DF,it Serie A,28-044,1997,23.1,1578,65,464,749,376,26,1578,15,6,40.0,5,33.3,832,3954,2225,38,35,4,18,6,1020,105,157,es ESP,DF,it Serie A,28-044,1997,25,2082,83,92.5,23.1,24,86,21,1,13,0,1.48,34,26,+8,+0.35,+1.42,33.5,26.8,+6.7,+0.29,121,es ESP,DF,it Serie A,28-044,1997,23.1,1,0,0,24,19,4,71,21,16,1,0,0,69,25,23,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,19.0,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,122,it ITA,FW,it Serie A,19-357,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,122,it ITA,FW,it Serie A,19-357,2005,0.1,4,4,100.0,82,12,0,0.0,0.0,0.0,0,0,0,0,1,122,it ITA,FW,it Serie A,19-357,2005,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,122,it ITA,FW,it Serie A,19-357,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,122,it ITA,FW,it Serie A,19-357,2005,0.1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,122,it ITA,FW,it Serie A,19-357,2005,0.1,5,0,0,5,1,0,5,1,1,100.0,0,0.0,3,19,3,0,1,0,0,0,4,0,159,it ITA,FW,it Serie A,19-357,2005,1,6,6,0.3,0.1,0,,0,1,6,0,3.00,0,0,0,0.00,-0.80,0.0,0.0,0.0,0.00,122,it ITA,FW,it Serie A,19-357,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,23.0,2001,17,13,983,10.9,0,3,3,0,0,0,2,0,0.8,0.8,1.6,2.4,27,50,30,0.27,0.22,123,eng ENG,MF,it Serie A,23-086,2001,10.9,0,18,4,22.2,1.65,0.37,0.00,0.00,24.7,0,0,0,0.8,0.8,0.04,-0.8,-0.8,123,eng ENG,MF,it Serie A,23-086,2001,10.9,309,382,80.9,5431,1868,3,1.6,1.1,+1.4,16,37,13,1,50,123,eng ENG,MF,it Serie A,23-086,2001,10.9,382,365,16,8,2,3,13,0,4,1,2,0,309,1,7,123,eng ENG,MF,it Serie A,23-086,2001,10.9,30,2.75,23,1,3,1,1,1,5,0.46,123,eng ENG,MF,it Serie A,23-086,2001,10.9,26,12,7,13,6,17,47.1,9,14,3,11,11,37,19,0,123,eng ENG,MF,it Serie A,23-086,2001,10.9,540,23,120,309,124,17,540,35,15,42.9,18,51.4,284,1642,938,27,17,6,17,9,336,30,160,eng ENG,MF,it Serie A,23-086,2001,17,983,58,43.7,10.9,13,70,1,4,18,0,0.88,13,14,-1,-0.09,+0.76,9.7,12.6,-2.9,-0.26,123,eng ENG,MF,it Serie A,23-086,2001,10.9,2,0,0,20,16,0,13,11,12,0,1,0,58,9,10,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28.0,1996,16,13,1139,12.7,0,2,2,0,0,0,3,0,0.8,0.8,0.6,1.3,23,83,10,0.16,0.10,124,de GER,DF,de Bundesliga,28-212,1996,12.7,0,13,0,0.0,1.03,0.00,0.00,,14.0,0,0,0,0.8,0.8,0.06,-0.8,-0.8,124,de GER,DF,de Bundesliga,28-212,1996,12.7,1164,1264,92.1,21384,6284,2,0.6,0.7,+1.4,3,77,3,2,83,124,de GER,DF,de Bundesliga,28-212,1996,12.7,1264,1220,44,25,2,6,10,16,0,0,0,0,1164,0,6,124,de GER,DF,de Bundesliga,28-212,1996,12.7,31,2.45,24,0,4,2,0,1,4,0.32,124,de GER,DF,de Bundesliga,28-212,1996,12.7,21,16,9,8,4,15,66.7,5,25,13,12,12,33,50,1,124,de GER,DF,de Bundesliga,28-212,1996,12.7,1427,105,495,844,92,21,1427,16,13,81.3,2,12.5,974,4942,2512,23,19,0,14,8,1094,10,163,de GER,DF,de Bundesliga,28-212,1996,16,1139,71,57.5,12.7,13,81,11,3,29,1,1.50,24,19,+5,+0.40,+1.04,19.5,15.1,+4.5,+0.35,124,de GER,DF,de Bundesliga,28-212,1996,12.7,3,0,0,15,15,0,10,12,16,0,0,1,70,33,16,67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,22.0,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.22,125,pr PUR,FW,es La Liga,22-035,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,125,pr PUR,FW,es La Liga,22-035,2003,0.1,1,1,100.0,10,6,0,0.0,0.0,0.0,1,0,0,0,0,125,pr PUR,FW,es La Liga,22-035,2003,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,125,pr PUR,FW,es La Liga,22-035,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,125,pr PUR,FW,es La Liga,22-035,2003,0.1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,125,pr PUR,FW,es La Liga,22-035,2003,0.1,2,0,0,1,1,0,2,0,0,,0,,1,12,4,0,0,0,0,0,1,1,164,pr PUR,FW,es La Liga,22-035,2003,1,11,11,0.5,0.1,0,,0,1,11,0,1.00,0,0,0,0.00,+0.38,0.3,0.2,+0.1,+0.67,125,pr PUR,FW,es La Liga,22-035,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34.0,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.22,0.41,126,jm JAM,FW,eng Premier League,34-326,1990,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2,126,jm JAM,FW,eng Premier League,34-326,1990,9.3,114,188,60.6,2183,424,1,1.6,0.9,-0.6,9,11,6,2,18,126,jm JAM,FW,eng Premier League,34-326,1990,9.3,188,175,11,0,3,6,25,7,0,0,0,0,114,2,14,126,jm JAM,FW,eng Premier League,34-326,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,126,jm JAM,FW,eng Premier League,34-326,1990,9.3,2,2,0,1,1,3,66.7,1,6,0,6,0,2,2,0,126,jm JAM,FW,eng Premier League,34-326,1990,9.3,296,3,26,124,151,36,296,27,9,33.3,13,48.1,173,1177,695,29,13,9,35,19,221,59,166,jm JAM,FW,eng Premier League,34-326,1990,14,836,60,37.2,9.3,11,66,0,3,37,0,1.07,13,18,-5,-0.54,+0.29,11.4,17.8,-6.4,-0.69,126,jm JAM,FW,eng Premier League,34-326,1990,9.3,1,0,0,12,7,4,25,0,2,0,0,0,22,17,22,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Antoniu,es ESP,MF,Espanyol,es La Liga,22.0,2002,13,6,467,5.2,0,1,1,0,0,0,3,0,0.6,0.6,1.0,1.6,16,11,33,0.19,0.30,127,es ESP,MF,es La Liga,22-165,2002,5.2,0,7,3,42.9,1.35,0.58,0.00,0.00,21.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,127,es ESP,MF,es La Liga,22-165,2002,5.2,74,113,65.5,1029,295,1,1.0,0.8,0.0,6,4,6,3,11,127,es ESP,MF,es La Liga,22-165,2002,5.2,113,111,1,0,0,0,13,1,0,0,0,0,74,1,6,127,es ESP,MF,es La Liga,22-165,2002,5.2,15,2.88,9,0,3,0,2,1,1,0.19,127,es ESP,MF,es La Liga,22-165,2002,5.2,9,4,2,3,4,10,40.0,6,8,1,7,2,11,2,1,127,es ESP,MF,es La Liga,22-165,2002,5.2,173,2,26,68,86,9,173,22,15,68.2,4,18.2,97,819,505,16,11,3,12,6,110,33,167,es ESP,MF,es La Liga,22-165,2002,13,467,36,21.6,5.2,6,58,0,7,17,8,1.00,4,5,-1,-0.19,+0.45,5.0,6.5,-1.5,-0.29,127,es ESP,MF,es La Liga,22-165,2002,5.2,3,0,0,11,10,4,13,2,4,0,0,0,15,4,8,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Antony,br BRA,"DF,MF",Manchester Utd,eng Premier League,24.0,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.73,128,br BRA,"DF,MF",eng Premier League,24-359,2000,1.6,0,6,3,50.0,3.83,1.91,0.00,0.00,15.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0,128,br BRA,"DF,MF",eng Premier League,24-359,2000,1.6,56,69,81.2,688,111,0,0.1,0.2,-0.1,3,1,5,2,6,128,br BRA,"DF,MF",eng Premier League,24-359,2000,1.6,69,62,7,2,0,0,5,5,0,0,0,0,56,0,1,128,br BRA,"DF,MF",eng Premier League,24-359,2000,1.6,8,5.11,6,0,1,0,1,0,0,0.00,128,br BRA,"DF,MF",eng Premier League,24-359,2000,1.6,6,3,4,2,0,5,40.0,3,2,0,2,2,8,0,0,128,br BRA,"DF,MF",eng Premier League,24-359,2000,1.6,101,2,22,26,54,8,101,11,4,36.4,6,54.5,60,317,182,5,6,1,5,1,69,7,168,br BRA,"DF,MF",eng Premier League,24-359,2000,8,141,18,6.3,1.6,0,,0,8,18,11,0.88,5,2,+3,+1.91,+2.30,4.7,2.2,+2.5,+1.60,128,br BRA,"DF,MF",eng Premier League,24-359,2000,1.6,0,0,0,2,5,0,5,2,3,0,0,0,11,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Antony,br BRA,FW,Betis,es La Liga,24.0,2000,3,3,232,2.6,2,1,3,2,0,0,1,0,0.4,0.4,0.3,0.7,7,10,25,1.16,0.26,129,br BRA,FW,es La Liga,24-359,2000,2.6,2,8,4,50.0,3.10,1.55,0.25,0.50,18.0,0,0,0,0.4,0.4,0.05,+1.6,+1.6,129,br BRA,FW,es La Liga,24-359,2000,2.6,101,124,81.5,1390,332,1,0.3,0.3,+0.7,6,5,6,1,10,129,br BRA,FW,es La Liga,24-359,2000,2.6,124,121,3,0,2,1,3,2,1,0,0,0,101,0,4,129,br BRA,FW,es La Liga,24-359,2000,2.6,10,3.88,8,0,0,1,1,0,2,0.78,129,br BRA,FW,es La Liga,24-359,2000,2.6,3,2,1,1,1,1,0.0,1,4,0,4,1,4,2,1,129,br BRA,FW,es La Liga,24-359,2000,2.6,163,2,20,56,87,13,163,4,1,25.0,3,75.0,104,526,277,7,6,5,10,4,130,25,169,br BRA,FW,es La Liga,24-359,2000,3,232,77,10.7,2.6,3,77,1,0,,0,1.33,7,4,+3,+1.16,+1.49,4.6,3.7,+0.9,+0.34,129,br BRA,FW,es La Liga,24-359,2000,2.6,1,0,0,3,4,0,3,1,2,1,0,0,13,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Anuar,ma MAR,"FW,MF",Valladolid,es La Liga,30.0,1995,15,13,1136,12.6,2,0,2,2,0,0,5,0,1.3,1.3,0.5,1.8,13,17,34,0.16,0.14,130,ma MAR,"FW,MF",es La Liga,30-033,1995,12.6,2,7,3,42.9,0.55,0.24,0.29,0.67,12.6,0,0,0,1.3,1.3,0.19,+0.7,+0.7,130,ma MAR,"FW,MF",es La Liga,30-033,1995,12.6,235,295,79.7,3472,540,0,0.5,0.4,-0.5,4,7,2,1,17,130,ma MAR,"FW,MF",es La Liga,30-033,1995,12.6,295,283,12,5,1,0,10,3,1,0,0,0,235,0,4,130,ma MAR,"FW,MF",es La Liga,30-033,1995,12.6,17,1.35,10,1,2,0,4,0,4,0.32,130,ma MAR,"FW,MF",es La Liga,30-033,1995,12.6,20,13,12,4,4,16,25.0,12,19,6,13,12,32,10,1,130,ma MAR,"FW,MF",es La Liga,30-033,1995,12.6,426,16,119,188,121,18,426,16,4,25.0,8,50.0,211,1262,447,13,7,4,18,9,264,34,170,ma MAR,"FW,MF",es La Liga,30-033,1995,15,1136,76,52.6,12.6,13,82,7,2,34,1,0.67,8,25,-17,-1.35,+0.06,10.6,21.6,-11.0,-0.87,130,ma MAR,"FW,MF",es La Liga,30-033,1995,12.6,5,0,0,20,29,6,10,12,13,1,0,0,45,16,19,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32.0,1992,20,16,1558,17.3,0,1,1,0,0,0,1,0,0.1,0.1,1.9,2.0,36,64,73,0.06,0.12,131,fr FRA,DF,fr Ligue 1,32-253,1992,17.3,0,3,1,33.3,0.17,0.06,0.00,0.00,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,131,fr FRA,DF,fr Ligue 1,32-253,1992,17.3,641,850,75.4,10104,4534,1,1.9,1.7,-0.9,9,55,17,5,64,131,fr FRA,DF,fr Ligue 1,32-253,1992,17.3,850,680,167,13,3,2,35,154,0,0,0,0,641,3,35,131,fr FRA,DF,fr Ligue 1,32-253,1992,17.3,26,1.50,22,3,1,0,0,0,3,0.17,131,fr FRA,DF,fr Ligue 1,32-253,1992,17.3,49,33,29,18,2,52,57.7,22,24,6,18,18,67,67,1,131,fr FRA,DF,fr Ligue 1,32-253,1992,17.3,1069,72,384,446,245,17,1069,30,16,53.3,13,43.3,436,2152,1199,36,19,3,26,15,585,73,171,fr FRA,DF,fr Ligue 1,32-253,1992,20,1558,78,78.7,17.3,16,90,15,4,30,0,0.90,18,41,-23,-1.33,+0.16,19.1,38.2,-19.2,-1.11,131,fr FRA,DF,fr Ligue 1,32-253,1992,17.3,1,0,0,26,7,2,35,18,33,0,2,0,69,17,20,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,27.0,1998,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.01,132,es ESP,DF,es La Liga,27-017,1998,2.0,0,1,0,0.0,0.51,0.00,0.00,,15.7,0,0,0,0.0,0.0,0.02,0.0,0.0,132,es ESP,DF,es La Liga,27-017,1998,2.0,49,67,73.1,1025,258,0,0.0,0.0,0.0,0,1,0,0,2,132,es ESP,DF,es La Liga,27-017,1998,2.0,67,65,2,2,0,1,0,0,0,0,0,0,49,0,1,132,es ESP,DF,es La Liga,27-017,1998,2.0,1,0.51,1,0,0,0,0,0,0,0.00,132,es ESP,DF,es La Liga,27-017,1998,2.0,1,1,1,0,0,1,100.0,0,2,2,0,3,4,8,0,132,es ESP,DF,es La Liga,27-017,1998,2.0,86,12,59,26,1,1,86,0,0,,0,,44,253,137,0,0,0,1,0,48,0,172,es ESP,DF,es La Liga,27-017,1998,2,177,89,8.2,2.0,2,89,1,0,,1,2.00,3,2,+1,+0.51,+1.14,2.5,2.6,-0.2,-0.08,132,es ESP,DF,es La Liga,27-017,1998,2.0,0,0,0,0,0,0,0,3,1,0,0,0,4,6,8,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,29.0,1995,22,18,1537,17.1,6,0,6,3,3,3,7,0,4.9,2.5,0.3,2.8,8,43,20,0.18,0.30,133,uy URU,MF,es La Liga,29-140,1995,17.1,6,25,7,28.0,1.46,0.41,0.12,0.43,19.2,1,3,3,4.9,2.5,0.10,+1.1,+0.5,133,uy URU,MF,es La Liga,29-140,1995,17.1,322,454,70.9,5672,1252,0,0.3,0.3,-0.3,7,40,1,0,43,133,uy URU,MF,es La Liga,29-140,1995,17.1,454,437,13,8,2,5,9,0,1,1,0,0,322,4,5,133,uy URU,MF,es La Liga,29-140,1995,17.1,28,1.64,19,0,1,3,3,2,2,0.12,133,uy URU,MF,es La Liga,29-140,1995,17.1,23,12,3,16,4,22,50.0,11,16,4,12,6,29,32,0,133,uy URU,MF,es La Liga,29-140,1995,17.1,644,28,115,384,150,41,641,20,10,50.0,7,35.0,287,1224,407,8,1,2,35,18,339,20,173,uy URU,MF,es La Liga,29-140,1995,22,1537,70,71.2,17.1,18,80,12,4,23,0,1.23,16,15,+1,+0.06,-0.09,18.1,18.3,-0.2,-0.01,133,uy URU,MF,es La Liga,29-140,1995,17.1,7,0,0,22,24,2,9,6,12,0,0,0,65,41,36,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
