,name,price,NFC,Color,Диагональ,RAM,Память,Емкость акк,rating,reviews,OS,Тип экрана_IPS,Тип экрана_OLED,Тип экрана_Other
2358,334,156491,0,21,6.67,8.0,256.0,5000.0,4.7,10,0,False,False,False
2359,334,149990,0,7,6.67,8.0,128.0,5000.0,5.0,10,0,False,False,False
2360,334,148990,0,21,6.67,8.0,128.0,5000.0,4.8,10,0,False,False,False
2361,334,157015,0,7,6.67,8.0,256.0,5000.0,4.8,15,0,False,False,False
2362,332,187842,1,21,6.7,8.0,128.0,5000.0,4.9,9,0,False,False,False
2363,334,157679,0,12,6.67,8.0,256.0,5000.0,4.8,13,0,False,False,False
2364,335,418800,1,21,6.7,12.0,256.0,4700.0,4.9,10,0,False,True,False
2365,332,188841,1,2,6.7,8.0,128.0,5000.0,4.5,179,0,False,False,False
2366,333,299000,1,21,6.7,12.0,256.0,5000.0,4.9,83,0,False,False,False
2367,350,359990,1,21,6.8,16.0,512.0,6000.0,4.9,62,0,False,False,False
2368,342,102380,1,15,6.72,8.0,256.0,6000.0,4.6,42,0,True,False,False
2369,339,89936,1,21,6.6,6.0,256.0,5000.0,4.8,40,0,True,False,False
2370,345,399990,1,21,6.8,12.0,256.0,6500.0,5.0,16,0,False,False,False
2371,345,499940,1,21,6.8,16.0,512.0,6500.0,4.9,30,0,False,False,False
2372,346,398320,1,21,6.8,12.0,256.0,6500.0,4.8,43,0,False,False,False
2373,349,989000,1,21,6.78,12.0,1024.0,5100.0,5.0,38,0,False,False,False
2374,346,494890,1,14,6.8,16.0,512.0,6500.0,4.8,72,0,False,False,False
2375,345,749000,1,14,6.8,16.0,512.0,6500.0,4.9,10,0,False,False,False
2376,350,389899,1,21,6.8,12.0,256.0,6000.0,5.0,16,0,False,False,False
2377,346,469900,1,21,6.8,16.0,512.0,6500.0,4.9,5,0,False,False,False
2378,349,499999,1,21,6.78,16.0,1024.0,5100.0,4.9,15,0,False,False,False
2379,348,89936,1,8,6.72,8.0,256.0,5000.0,4.8,149,0,True,False,False
2380,346,499890,1,15,6.8,16.0,512.0,6500.0,4.7,49,0,False,False,False
2381,350,419800,1,21,6.8,16.0,1024.0,6000.0,4.8,75,0,False,False,False
2382,344,399990,1,21,6.8,12.0,256.0,6000.0,4.7,20,0,False,False,False
2383,343,544999,1,21,6.8,16.0,512.0,6000.0,4.9,21,0,False,False,False
2384,348,89734,1,21,6.72,8.0,256.0,5000.0,4.9,18,0,True,False,False
2385,350,439000,1,14,6.8,16.0,512.0,6000.0,4.7,18,0,False,False,False
2386,342,118025,1,14,6.72,8.0,256.0,6000.0,4.8,8,0,True,False,False
2387,342,119900,1,6,6.72,8.0,256.0,6000.0,4.9,5,0,True,False,False
2388,351,735000,1,21,6.8,16.0,1024.0,6000.0,4.9,9,0,False,False,False
2389,338,254990,1,8,6.9,8.0,256.0,4310.0,4.7,3,0,False,True,False
2390,340,129916,1,9,6.72,8.0,256.0,5000.0,4.9,19,0,True,False,False
2391,338,239899,1,21,6.9,8.0,256.0,4310.0,5.0,11,0,False,True,False
2392,340,129916,1,21,6.72,8.0,256.0,5000.0,4.9,4,0,True,False,False
2393,351,439900,1,21,6.8,16.0,512.0,6000.0,4.9,41,0,False,False,False
2394,341,54990,0,16,6.6,4.0,128.0,5000.0,4.8,8,0,True,False,False
2395,347,217990,1,14,6.65,8.0,128.0,4500.0,4.9,2,0,False,False,False
2396,344,500000,1,21,6.8,16.0,512.0,6000.0,4.9,7,0,False,False,False
2397,351,424890,1,14,6.8,12.0,256.0,6000.0,4.9,6,0,False,False,False
2398,349,835000,1,9,6.78,16.0,1024.0,5100.0,4.9,10,0,False,False,False
2399,352,369990,1,21,6.8,16.0,512.0,5100.0,4.8,4,0,False,False,False
2400,352,479900,1,21,6.8,16.0,1024.0,5100.0,4.9,2,0,False,False,False
2401,351,630187,1,21,6.8,8.0,256.0,6000.0,4.9,13,0,False,False,True
2402,351,424899,1,21,6.8,12.0,256.0,6000.0,4.8,5,0,False,False,False
2403,352,399900,1,21,6.8,12.0,256.0,5100.0,4.8,10,0,False,False,False
2404,349,479000,1,9,6.78,12.0,1024.0,5100.0,4.7,33,0,False,False,False
2405,349,365990,1,21,6.78,12.0,256.0,5100.0,4.9,2,0,False,False,False
2406,351,738043,1,14,6.8,16.0,512.0,6000.0,4.8,3,0,False,False,False
2407,417,274998,1,21,6.78,16.0,256.0,5500.0,4.9,1,0,False,False,False
2408,416,399720,1,7,6.82,16.0,512.0,5400.0,4.8,10,0,False,True,False
2409,416,398400,1,21,6.82,16.0,512.0,5400.0,4.5,1,0,False,True,False
2410,416,359900,1,7,6.82,12.0,256.0,5400.0,4.8,3,0,False,True,False
2411,416,359900,1,21,6.82,12.0,256.0,5400.0,4.9,17,0,False,True,False
2412,432,129797,1,21,6.72,8.0,256.0,5000.0,4.8,42,0,True,False,False
2413,416,369899,1,2,6.82,12.0,256.0,5400.0,4.8,3,0,False,True,False
2414,428,228485,1,21,6.74,12.0,256.0,5500.0,4.8,1,0,False,False,False
2415,431,159990,1,15,6.7,12.0,256.0,5000.0,4.8,6,0,False,False,False
2416,437,769899,1,21,7.82,16.0,512.0,4805.0,4.9,24,0,False,False,False
2417,434,146800,1,14,6.67,8.0,256.0,5110.0,4.9,2,0,False,True,False
2418,426,300719,1,21,6.74,16.0,256.0,5000.0,5.0,2,0,False,False,False
2419,432,134910,1,7,6.72,8.0,256.0,5000.0,4.9,2,0,True,False,False
2420,427,265000,1,21,6.74,16.0,512.0,5500.0,4.9,1,0,False,False,False
2421,428,229040,1,14,6.74,12.0,256.0,5500.0,5.0,5,0,False,False,False
2422,431,157000,1,16,6.7,12.0,256.0,5000.0,4.9,4,0,False,False,False
2423,417,274812,1,16,6.78,16.0,256.0,5500.0,4.9,3,0,False,False,False
2424,435,49990,0,21,6.56,4.0,64.0,5000.0,4.8,34,0,True,False,False
2425,432,120203,1,7,6.72,8.0,128.0,5000.0,4.6,1,0,True,False,False
